Items  Description,Duration,Andhra Pradesh ,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal1,Andaman & Nicobar Islands,Chandigarh,Delhi,Puducherry,All_India GDP,index
GSDP - CURRENT PRICES (` in Crore),2011-12,379402,11063,143175,247144,158074,42367,615606,297539,72720,78254,150918,603778,364048,315561,1272967,12915,19918,7259,11839,227872,266628,436465,11165,751485,359433,19208,724049,115523,0,3979,18768,343767,16818,8736039,1
GSDP - CURRENT PRICES (` in Crore),2012-13,411404,12547,156864,282368,177511,38120,724495,347032,82820,87105,174724,691700,412313,380924,1448466,13748,21872,8362,13619,258275,297734,494004,12338,855481,401493,21663,822903,131835,0,4421,21609,391238,18875,9946636,2
GSDP - CURRENT PRICES (` in Crore),2013-14,464272,14602,177745,317101,206690,35921,807623,400662,94764,95893,188567,817886,465041,437737,1647506,16198,22938,10293,16612,291709,334714,549701,13862,971090,452186,25593,944146,149817,0,5159,24787,443783,21870,11236635,3
GSDP - CURRENT PRICES (` in Crore),2014-15,526468,16761,198098,373920,234982,40633,895027,437462,104369,100404,217107,921788,526002,481982,1792122,18043,24408,11559,18414,321971,368011,612194,15209,1092564,511178,29667,1043371,161985,0,5721,27844,492424,24089,12433749,4
GSDP - CURRENT PRICES (` in Crore),2015-16,609934,18784,224234,413503,260776,45002,994316,485184,0,118387,241955,1027068,588337,543975,0,0,26745,0,0,341887,0,0,16637,1212668,575631,0,1153795,184091,0,0,30304,551963,26533,13675331,5
GSDP - CURRENT PRICES (` in Crore),2016-17,699307,0,0,0,290140,0,0,547396,0,0,0,0,0,640484,0,0,29567,0,0,378991,0,0,0,1338766,654294,0,0,0,0,0,0,622385,29557,15251028,
(% Growth over previous year),2012-13,8.43,13.41,9.56,14.25,12.3,-10.02,17.69,16.63,13.89,11.31,15.77,14.56,13.26,20.71,13.79,6.45,9.81,15.2,15.03,13.34,11.67,13.18,10.51,13.84,11.7,12.78,13.65,14.12,0,11.13,15.14,13.81,12.23,13.86,1
(% Growth over previous year),2013-14,12.85,16.38,13.31,12.3,16.44,-5.77,11.47,15.45,14.42,10.09,7.92,18.24,12.79,14.91,13.74,17.83,4.87,23.1,21.98,12.95,12.42,11.27,12.35,13.51,12.63,18.14,14.73,13.64,0,16.68,14.71,13.43,15.87,12.97,2
(% Growth over previous year),2014-15,13.4,14.79,11.45,17.92,13.69,13.12,10.82,9.18,10.14,4.7,15.14,12.7,13.11,10.11,8.78,11.39,6.41,12.3,10.85,10.37,9.95,11.37,9.72,12.51,13.05,15.92,10.51,8.12,0,10.89,12.33,10.96,10.14,10.65,3
(% Growth over previous year),2015-16,15.85,12.07,13.19,10.59,10.98,10.75,11.09,10.91,0,17.91,11.44,11.42,11.85,12.86,0,0,9.58,0,0,6.19,0,0,9.39,10.99,12.61,0,10.58,13.65,0,0,8.84,12.09,10.15,9.99,4
(% Growth over previous year),2016-17,14.65,0,0,0,11.26,0,0,12.82,0,0,0,0,0,17.74,0,0,10.55,0,0,10.85,0,0,0,10.4,13.67,0,0,0,0,0,0,12.76,11.4,11.52,5
